Year,Country,Gender,Age_Group,Cause_of_Death,Number_of_Deaths,Mortality_Rate_per_1000
2022,India,Male,0-14,Natural Disasters,73272,2.79
2025,Germany,Female,0-14,Homicide,421169,0.71
2020,Japan,Female,30-44,Infectious Diseases,103315,0.75
2023,Germany,Male,30-44,Suicide,220423,11.86
2015,Nigeria,Female,15-29,Stroke,157810,9.5
2024,Germany,Female,30-44,Kidney Disease,166670,6.46
2023,Russia,Male,60+,Infectious Diseases,269470,10.01
2016,China,Female,30-44,Diabetes,423002,1.65
2024,Germany,Male,0-14,Road Accidents,133301,7.45
2017,Germany,Male,60+,Natural Disasters,117230,8.55
2020,Nigeria,Female,15-29,Cardiovascular Disease,487075,7.64
2025,Germany,Male,45-59,Homicide,261390,9.16
2023,USA,Female,45-59,Natural Disasters,302643,10.12
2022,Russia,Male,45-59,Cancer,323050,9.7
2017,Japan,Female,0-14,Diabetes,79501,1.77
2020,Pakistan,Female,0-14,Suicide,303269,9.76
2019,China,Female,0-14,Cardiovascular Disease,11580,2.72
2024,Pakistan,Female,15-29,Homicide,470752,9.94
2023,China,Male,60+,Cancer,368938,9.23
2024,Japan,Male,30-44,Road Accidents,174393,1.6
2019,USA,Male,15-29,Stroke,299725,8.05
2021,UK,Female,0-14,Cancer,459397,1.09
2022,USA,Female,45-59,Cancer,394396,0.85
2023,USA,Female,0-14,Road Accidents,480956,8.51
2017,China,Male,60+,Kidney Disease,379840,6.67
2025,Nigeria,Male,30-44,Road Accidents,491785,2.39
2023,Japan,Male,30-44,Cancer,359174,5.3
2018,China,Female,45-59,Cancer,495410,6.62
2015,USA,Female,15-29,Stroke,455307,3.91
2023,Brazil,Female,60+,Road Accidents,28361,7.24
2021,China,Female,45-59,Suicide,209307,3.66
2022,Japan,Female,15-29,Infectious Diseases,96773,10.61
2019,Germany,Male,30-44,Stroke,355976,3.72
2023,UK,Male,0-14,Road Accidents,307827,3.15
2015,India,Female,30-44,Stroke,415767,3.85
2015,Pakistan,Male,0-14,Respiratory Disease,279621,9.5
2020,UK,Female,15-29,Road Accidents,321234,3.36
2020,Brazil,Female,0-14,Cancer,86958,6.9
2016,Russia,Male,30-44,Suicide,257060,2.52
2023,USA,Female,0-14,Homicide,395091,2.68
2015,Pakistan,Female,45-59,Suicide,456228,7.13
2016,Germany,Female,60+,Suicide,29028,1.76
